id,number,part,doc_type,edition_year,amendments,title_en,title_de,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-27570,27570,,ts,2021,,Privacy protection — Privacy guidelines for smart cities,,published,,,privacy-identity,,,,,,A B,,confirmed,webstore.ansi.org,standards.iteh.ai,2026-08-04
iso-iec-27573,27573,,is,,,Privacy protection of user avatar and system avatar interactions in the metaverse,,under_development,,,privacy-identity,,,,,,A B,,confirmed,iso.org/standard/89525.html,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-27574,27574,,is,,,"Information security, cybersecurity and privacy protection — Privacy in brain computer interface (BCI) applications",,under_development,,,privacy-identity,,,controls,,,A B,,confirmed,iso.org/standard/90717.html,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-27701,27701,,is,2025,,"Information security, cybersecurity and privacy protection — Privacy information management systems — Requirements and guidance",,published,ISO/IEC 27701:2019,,privacy-identity,,,requirements,,,A B C,iso-iec-27001,confirmed,ipen.trialog.com/wiki/ISO,a-lign.com,2026-08-04
iso-iec-27706,27706,,is,2025,,"Information security, cybersecurity and privacy protection — Requirements for bodies providing audit and certification of privacy information management systems",,published,,,privacy-identity,,,requirements audit certification,,,A B C,iso-iec-27701,confirmed,webstore.ansi.org/standards/iso/isoiec277062025,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-29101,29101,,is,2018,,Information technology — Security techniques — Privacy architecture framework,,published,,,privacy-identity,,,controls,,,A B,,confirmed,ipen.trialog.com/wiki/ISO,,2026-08-04
iso-iec-29115,29115,,is,2013,,Information technology — Security techniques — Entity authentication assurance framework,,under_revision,,,privacy-identity,,,controls,,,A B,,confirmed,joinup.ec.europa.eu,webstore.iec.ch,2026-08-04
iso-iec-29134,29134,,is,2023,,Information technology — Security techniques — Guidelines for privacy impact assessment,,published,,,privacy-identity,,,risk audit,,,A B,,unconfirmed,iso.org,,2026-08-04
iso-iec-29151,29151,,is,2017,,Information technology — Security techniques — Code of practice for personally identifiable information protection,,published,,,privacy-identity,,,controls,,,A B C,iso-iec-27002,unconfirmed,webstore.ansi.org,,2026-08-04
iso-iec-29184,29184,,is,2020,,Information technology — Online privacy notices and consent,,published,,,privacy-identity,,,controls,,,B,,unconfirmed,iso.org,,2026-08-04
iso-iec-29190,29190,,is,2015,,Information technology — Security techniques — Privacy capability assessment model,,published,,,privacy-identity,,,audit adjacent,,,A B,,unconfirmed,iso.org,,2026-08-04
iso-iec-29191,29191,,is,2012,,"Information technology — Security techniques — Requirements for partially anonymous, partially unlinkable authentication",,published,,,privacy-identity,,,requirements controls,,,A B,,unconfirmed,iso.org,,2026-08-04
iso-31700-1,31700,1,is,2023,,Consumer protection — Privacy by design for consumer goods and services — Part 1: High-level requirements,,published,,,privacy-identity,,,requirements risk,,,B,,confirmed,iso.org,securiti.ai,2026-08-04
iso-31700-2,31700,2,tr,2023,,Consumer protection — Privacy by design for consumer goods and services — Part 2: Use cases,,published,,,privacy-identity,,,requirements,,,B,,confirmed,iso.org,csagroup.org/store/product/iso_084978,2026-08-04
