id,number,part,doc_type,edition_year,amendments,title_en,title_de,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-27071,27071,,is,2023,,Cybersecurity — Security recommendations for establishing trusted connections between devices and services,,published,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27090,27090,,is,,,Cybersecurity — Artificial intelligence — Guidance for addressing security threats and compromises to AI systems,,under_development,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27100,27100,,ts,2020,,Information technology — Cybersecurity — Overview and concepts,,published,,,extended-27000,,,,,,A B,,confirmed,iso27001security.com,webstore.ansi.org,2026-08-04
iso-iec-27103,27103,,ts,2026,,Cybersecurity — Guidance on using ISO and IEC standards in a cybersecurity framework,,published,ISO/IEC TR 27103:2018,,extended-27000,,,,,,A B,,confirmed,iso27001security.com,standards.iteh.ai,2026-08-04
iso-iec-27109,27109,,tr,,,Cybersecurity education and training,,deleted,,,extended-27000,,,competence,,,A B,,confirmed,iso27001security.com,iso.org/standard/93042,2026-08-04
iso-iec-27110,27110,,ts,2021,,"Information technology, cybersecurity and privacy protection — Cybersecurity framework development guidelines",,published,,,extended-27000,,,,,,A B,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27400,27400,,is,2022,,Cybersecurity — IoT security and privacy — Guidelines,,published,,,extended-27000,,,,,,A B,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27402,27402,,is,2023,,Cybersecurity — IoT security and privacy — Device baseline requirements,,published,,,extended-27000,,,requirements,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27403,27403,,is,2024,,Cybersecurity — IoT security and privacy — Guidelines for IoT-domotics,,published,,,extended-27000,,,,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27404,27404,,is,2025,,Cybersecurity — IoT security and privacy — Cybersecurity labelling framework for consumer IoT,,published,,,extended-27000,,,certification,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-27799,27799,,is,2025,,Health informatics — Information security controls in health using ISO/IEC 27002,,published,ISO 27799:2008,,extended-27000,,,controls sector,,,B C,iso-iec-27002,confirmed,genorma.com,en-standard.eu,2026-08-04
